timestamp,value
2025-03-01T10:36:33Z,95.1
2025-03-01T10:37:33Z,96.1
2025-03-01T10:38:33Z,97
2025-03-01T10:39:33Z,97.6
2025-03-01T10:40:33Z,97.9
2025-03-01T10:41:33Z,98.1
2025-03-01T10:42:33Z,98.3
2025-03-01T10:43:33Z,98.8
2025-03-01T10:44:33Z,98.2
2025-03-01T10:45:33Z,50
2025-03-01T10:46:33Z,96.4
2025-03-01T10:47:33Z,95.6
2025-03-01T10:48:33Z,95.1
2025-03-01T10:49:33Z,94.7
2025-03-01T10:50:33Z,94.5
2025-03-01T10:51:33Z,94.3
2025-03-01T10:52:33Z,94.3
2025-03-01T10:53:33Z,94.2
2025-03-01T10:54:33Z,94
2025-03-01T10:55:33Z,93.9
2025-03-01T10:56:33Z,94
2025-03-01T10:57:33Z,94.2
2025-03-01T10:58:33Z,94.4
2025-03-01T10:59:33Z,94.5
2025-03-01T11:00:33Z,94.6
2025-03-01T11:01:33Z,94.4
2025-03-01T11:02:33Z,94.4
2025-03-01T11:03:33Z,94.3
2025-03-01T11:04:33Z,94.2
2025-03-01T11:05:33Z,50
2025-03-01T11:06:33Z,94.4
2025-03-01T11:07:33Z,94.8
2025-03-01T11:08:33Z,95.1
2025-03-01T11:09:33Z,50
2025-03-01T11:10:33Z,50
2025-03-01T11:11:33Z,97.3
2025-03-01T11:12:33Z,98.1
2025-03-01T11:13:33Z,98.6
2025-03-01T11:14:33Z,98.8
2025-03-01T11:15:33Z,98.4
2025-03-01T11:16:33Z,98.4
2025-03-01T11:17:33Z,98.7
2025-03-01T11:18:33Z,98.5
2025-03-01T11:19:33Z,98.3
2025-03-01T11:20:33Z,98.2
2025-03-01T11:21:33Z,98.4
2025-03-01T11:22:33Z,98.5
2025-03-01T11:23:33Z,98.5
2025-03-01T11:24:33Z,98.4
2025-03-01T11:25:33Z,98.4
2025-03-01T11:26:33Z,98
2025-03-01T11:27:33Z,97.8
2025-03-01T11:28:33Z,97.8
2025-03-01T11:29:33Z,97.5
2025-03-01T11:30:33Z,50
2025-03-01T11:31:33Z,97.2
2025-03-01T11:32:33Z,97.6
2025-03-01T11:33:33Z,97.8
2025-03-01T11:34:33Z,97.8
2025-03-01T11:35:33Z,97.9
2025-03-01T11:36:33Z,98.1
2025-03-01T11:37:33Z,50
2025-03-01T11:38:33Z,96.8
2025-03-01T11:39:33Z,95.9
2025-03-01T11:40:33Z,95.5
2025-03-01T11:41:33Z,50
2025-03-01T11:42:33Z,95.2
2025-03-01T11:43:33Z,94.9
2025-03-01T11:44:33Z,94.7
2025-03-01T11:45:33Z,94.8
2025-03-01T11:46:33Z,94.6
2025-03-01T11:47:33Z,94.7
2025-03-01T11:48:33Z,94.6
2025-03-01T11:49:33Z,94.4
2025-03-01T11:50:33Z,94.8
2025-03-01T11:51:33Z,94.9
2025-03-01T11:52:33Z,94.8
2025-03-01T11:53:33Z,95.1
2025-03-01T11:54:33Z,95.4
2025-03-01T11:55:33Z,95.5
2025-03-01T11:56:33Z,95.3
2025-03-01T11:57:33Z,95.4
2025-03-01T11:58:33Z,95.5
2025-03-01T11:59:33Z,95.6
2025-03-01T12:00:33Z,95.7
2025-03-01T12:01:33Z,96.4
2025-03-01T12:02:33Z,96.2
2025-03-01T12:03:33Z,95.7
2025-03-01T12:04:33Z,50
2025-03-01T12:05:33Z,93.9
2025-03-01T12:06:33Z,93.9
2025-03-01T12:07:33Z,93.9
2025-03-01T12:08:33Z,94.1
2025-03-01T12:09:33Z,93.4
2025-03-01T12:10:33Z,93.4
2025-03-01T12:11:33Z,93.4
2025-03-01T12:12:33Z,93.6
2025-03-01T12:13:33Z,50
2025-03-01T12:14:33Z,50
2025-03-01T12:15:33Z,93.7
2025-03-01T12:16:33Z,93.4
2025-03-01T12:17:33Z,93
2025-03-01T12:18:33Z,93
2025-03-01T12:19:33Z,93.1
2025-03-01T12:20:33Z,93.1
2025-03-01T12:21:33Z,93.1
2025-03-01T12:22:33Z,93.1
2025-03-01T12:23:33Z,92.9
2025-03-01T12:24:33Z,93
2025-03-01T12:25:33Z,93.6
2025-03-01T12:26:33Z,94.4
2025-03-01T12:27:33Z,94.4
2025-03-01T12:28:33Z,94.3
2025-03-01T12:29:33Z,94.3
2025-03-01T12:30:33Z,93.8
2025-03-01T12:31:33Z,94.1
2025-03-01T12:32:33Z,94.4
2025-03-01T12:33:33Z,94.6
2025-03-01T12:34:33Z,95
2025-03-01T12:35:33Z,94.6
2025-03-01T12:36:33Z,50
2025-03-01T12:37:33Z,94.7
2025-03-01T12:38:33Z,95.2
2025-03-01T12:39:33Z,95.4
2025-03-01T12:40:33Z,95.3
2025-03-01T12:41:33Z,95.4
2025-03-01T12:42:33Z,50
2025-03-01T12:43:33Z,95.8
2025-03-01T12:44:33Z,96.6
2025-03-01T12:45:33Z,97
2025-03-01T12:46:33Z,97.4
2025-03-01T12:47:33Z,97.2
2025-03-01T12:48:33Z,97.4
2025-03-01T12:49:33Z,50
2025-03-01T12:50:33Z,97.3
2025-03-01T12:51:33Z,93.2
2025-03-01T12:52:33Z,89.2
2025-03-01T12:53:33Z,86.3
2025-03-01T12:54:33Z,85.2
2025-03-01T12:55:33Z,83.7
2025-03-01T12:56:33Z,82.1
2025-03-01T12:57:33Z,50
2025-03-01T12:58:33Z,83.6
2025-03-01T12:59:33Z,87.5
2025-03-01T13:00:33Z,88.5
2025-03-01T13:01:33Z,90.9
2025-03-01T13:02:33Z,91.3
2025-03-01T13:03:33Z,93
2025-03-01T13:04:33Z,95.4
2025-03-01T13:05:33Z,96.8
2025-03-01T13:06:33Z,98.1
2025-03-01T13:07:33Z,98.7
2025-03-01T13:08:33Z,99
2025-03-01T13:09:33Z,99.3
2025-03-01T13:10:33Z,50
2025-03-01T13:11:33Z,99
