timestamp,rmssd,coverage,low_frequency,high_frequency
2025-03-12T00:45:00,166.86,0.966,6071.409,7608.926
2025-03-12T00:50:00,180.939,0.995,5311.66,5522.611
2025-03-12T00:55:00,170.362,1.003,4733.666,5971.144
2025-03-12T01:00:00,166.001,1.002,2966.659,6083.033
2025-03-12T01:05:00,173.852,1.004,3408.373,6408.612
2025-03-12T01:10:00,177.707,1.007,3341.578,5903.555
2025-03-12T01:15:00,159.773,1.002,4268.954,4665.701
2025-03-12T01:20:00,175.059,1.004,3775.614,6014.938
2025-03-12T01:25:00,173.342,0.999,3380.008,6436.122
2025-03-12T01:30:00,179.267,0.998,3576.404,7201.526
2025-03-12T01:35:00,130.827,0.856,6458.486,3867.371
2025-03-12T01:40:00,95.969,0.968,2381.011,1823.967
2025-03-12T01:45:00,81.138,0.978,5601.132,1802.665
2025-03-12T01:50:00,125.581,0.989,6228.876,3121.588
2025-03-12T01:55:00,142.993,0.998,3377.077,5112.8
2025-03-12T02:00:00,122.647,1.005,1995.232,3016.56
2025-03-12T02:05:00,124.686,1.004,2788.785,3066.254
2025-03-12T02:10:00,127.616,0.995,1774.897,3385.815
2025-03-12T02:15:00,115.454,1.001,2184.334,2483.077
2025-03-12T02:20:00,128.776,0.958,2230.276,4043.244
2025-03-12T02:25:00,163.037,0.947,11433.627,5666.262
2025-03-12T02:30:00,164.453,0.981,2672.923,5513.178
2025-03-12T02:35:00,130.042,0.875,5940.055,2851.477
2025-03-12T02:40:00,139.207,0.945,7055.4,4260.87
2025-03-12T02:45:00,152.709,0.926,5138.876,4618.4
2025-03-12T02:50:00,123.752,0.909,6392.324,2714.288
2025-03-12T02:55:00,68.095,1,4691.899,798.289
2025-03-12T03:00:00,109.587,0.956,8095.174,1952.563
2025-03-12T03:05:00,122.171,0.901,4446.308,3457.036
2025-03-12T03:10:00,157.61,1.003,8115.619,4207.067
2025-03-12T03:15:00,174.243,0.984,4526.028,6402.34
2025-03-12T03:20:00,165.148,0.969,3717.085,5649.605
2025-03-12T03:25:00,166.47,0.993,1241.305,4351.851
2025-03-12T03:30:00,172.799,0.974,2157.883,5784.964
2025-03-12T03:35:00,156.643,0.955,7423.159,3305.723
2025-03-12T03:40:00,180.423,1.006,2051.518,5634.443
2025-03-12T03:45:00,182.064,1.002,1669.601,6714.024
2025-03-12T03:50:00,181.69,1.005,3405.628,5969.315
2025-03-12T03:55:00,168.961,0.989,4697.36,5638.089
2025-03-12T04:00:00,139.932,0.994,2861.15,3179.918
2025-03-12T04:05:00,143.994,1.004,2296.84,3642.258
2025-03-12T04:10:00,152.198,0.898,4264.33,3097.714
2025-03-12T04:15:00,155.784,1.003,5785.852,3716.181
2025-03-12T04:20:00,107.755,0.91,6673.18,2249.219
2025-03-12T04:25:00,155.307,0.993,7677.479,3669.384
2025-03-12T04:30:00,162.692,0.973,8638.456,4919.511
2025-03-12T04:35:00,149.95,0.965,7132.857,4284.571
2025-03-12T04:40:00,172.699,0.999,7758.193,5306.387
2025-03-12T04:45:00,186.847,0.993,4763.097,5951.575
2025-03-12T04:50:00,181.675,1.005,4544.723,6034.964
2025-03-12T04:55:00,179.165,0.963,4748.119,4716.885
2025-03-12T05:05:00,160.319,0.948,6417.73,5356.838
